chord_name,notes,chord_type,chord_extension
G#maj11,"G#, C, D#, G, A#, C#",Major,Major 11th
Gbmaj11,"Gb, Bb, Db, F, Ab, B",Major,Major 11th
Gmaj11,"G, B, D, F#, A, C",Major,Major 11th
A#maj7,"A#, D, F, A",Major,Major 7th
Abmaj7,"Ab, C, Eb, G",Major,Major 7th
Amaj7,"A, C#, E, G#",Major,Major 7th
Bbmaj7,"Bb, D, F, A",Major,Major 7th
Bmaj7,"B, D#, F#, A#",Major,Major 7th
C#maj7,"C#, F, G#, C",Major,Major 7th
Cmaj7,"C, E, G, B",Major,Major 7th
D#maj7,"D#, G, A#, D",Major,Major 7th
Dbmaj7,"Db, F, Ab, C",Major,Major 7th
Dmaj7,"D, F#, A, C#",Major,Major 7th
Ebmaj7,"Eb, G, Bb, D",Major,Major 7th
Emaj7,"E, G#, B, D#",Major,Major 7th
F#maj7,"F#, A#, C#, F",Major,Major 7th
Fmaj7,"F, A, C, E",Major,Major 7th
G#maj7,"G#, C, D#, G",Major,Major 7th
Gbmaj7,"Gb, Bb, Db, F",Major,Major 7th
Gmaj7,"G, B, D, F#",Major,Major 7th
A#maj9,"A#, D, F, A, C",Major,Major 9th
Abmaj9,"Ab, C, Eb, G, Bb",Major,Major 9th
Amaj9,"A, C#, E, G#, B",Major,Major 9th
Bbmaj9,"Bb, D, F, A, C",Major,Major 9th
Bmaj9,"B, D#, F#, A#, C#",Major,Major 9th
C#maj9,"C#, F, G#, C, D#",Major,Major 9th
Cmaj9,"C, E, G, B, D",Major,Major 9th
D#maj9,"D#, G, A#, D, F",Major,Major 9th
Dbmaj9,"Db, F, Ab, C, Eb",Major,Major 9th
Dmaj9,"D, F#, A, C#, E",Major,Major 9th
Ebmaj9,"Eb, G, Bb, D, F",Major,Major 9th
Emaj9,"E, G#, B, D#, F#",Major,Major 9th
F#maj9,"F#, A#, C#, F, G#",Major,Major 9th
Fmaj9,"F, A, C, E, G",Major,Major 9th
G#maj9,"G#, C, D#, G, A#",Major,Major 9th
Gbmaj9,"Gb, Bb, Db, F, Ab",Major,Major 9th
Gmaj9,"G, B, D, F#, A",Major,Major 9th
A,"A, C#, E",Major,Triad
A#,"A#, D, F",Major,Triad
Ab,"Ab, C, Eb",Major,Triad
B,"B, D#, F#",Major,Triad
Bb,"Bb, D, F",Major,Triad
C,"C, E, G",Major,Triad
C#,"C#, F, G#",Major,Triad
D,"D, F#, A",Major,Triad
D#,"D#, G, A#",Major,Triad
Db,"Db, F, Ab",Major,Triad
E,"E, G#, B",Major,Triad
Eb,"Eb, G, Bb",Major,Triad
F,"F, A, C",Major,Triad
F#,"F#, A#, C#",Major,Triad
G,"G, B, D",Major,Triad
G#,"G#, C, D#",Major,Triad
Gb,"Gb, Bb, Db",Major,Triad
A#m6,"A#, C#, F, G",Minor,6th
Abm6,"Ab, B, Eb, F",Minor,6th
Am6,"A, C, E, F#",Minor,6th
Bbm6,"Bb, Db, F, G",Minor,6th
Bm6,"B, D, F#, G#",Minor,6th
C#m6,"C#, E, G#, A#",Minor,6th
Cm6,"C, D#, G, A",Minor,6th
D#m6,"D#, F#, A#, C",Minor,6th
Dbm6,"Db, E, Ab, Bb",Minor,6th
Dm6,"D, F, A, B",Minor,6th
Ebm6,"Eb, Gb, Bb, C",Minor,6th
Em6,"E, G, B, C#",Minor,6th
F#m6,"F#, A, C#, D#",Minor,6th
Fm6,"F, G#, C, D",Minor,6th
G#m6,"G#, B, D#, F",Minor,6th
Gbm6,"Gb, A, Db, Eb",Minor,6th
Gm6,"G, A#, D, E",Minor,6th
A#m11,"A#, C#, F, G#, C, D#",Minor,Minor 11th
Abm11,"Ab, B, Eb, Gb, Bb, Db",Minor,Minor 11th
Am11,"A, C, E, G, B, D",Minor,Minor 11th
Bbm11,"Bb, Db, F, Ab, C, Eb",Minor,Minor 11th
Bm11,"B, D, F#, A, C#, E",Minor,Minor 11th
C#m11,"C#, E, G#, B, D#, F#",Minor,Minor 11th
Cm11,"C, D#, G, A#, D, F",Minor,Minor 11th
D#m11,"D#, F#, A#, C#, F, G#",Minor,Minor 11th
Dbm11,"Db, E, Ab, B, Eb, Gb",Minor,Minor 11th
Dm11,"D, F, A, C, E, G",Minor,Minor 11th
Ebm11,"Eb, Gb, Bb, Db, F, Ab",Minor,Minor 11th
Em11,"E, G, B, D, F#, A",Minor,Minor 11th
