chord_name,notes,chord_family
Db6,"Db, F, Ab, Bb",Major
Dbmaj11,"Db, F, Ab, C, Eb, Gb",Major
Dbmaj7,"Db, F, Ab, C",Major
Dbmaj9,"Db, F, Ab, C, Eb",Major
Dmaj11,"D, F#, A, C#, E, G",Major
Dmaj7,"D, F#, A, C#",Major
Dmaj9,"D, F#, A, C#, E",Major
E,"E, G#, B",Major
E6,"E, G#, B, C#",Major
Eb,"Eb, G, Bb",Major
Eb6,"Eb, G, Bb, C",Major
Ebmaj11,"Eb, G, Bb, D, F, Ab",Major
Ebmaj7,"Eb, G, Bb, D",Major
Ebmaj9,"Eb, G, Bb, D, F",Major
Emaj11,"E, G#, B, D#, F#, A",Major
Emaj7,"E, G#, B, D#",Major
Emaj9,"E, G#, B, D#, F#",Major
F,"F, A, C",Major
F#,"F#, A#, C#",Major
F#6,"F#, A#, C#, D#",Major
F#maj11,"F#, A#, C#, F, G#, B",Major
F#maj7,"F#, A#, C#, F",Major
F#maj9,"F#, A#, C#, F, G#",Major
F6,"F, A, C, D",Major
Fmaj11,"F, A, C, E, G, A#",Major
Fmaj7,"F, A, C, E",Major
Fmaj9,"F, A, C, E, G",Major
G,"G, B, D",Major
G#,"G#, C, D#",Major
G#6,"G#, C, D#, F",Major
G#maj11,"G#, C, D#, G, A#, C#",Major
G#maj7,"G#, C, D#, G",Major
G#maj9,"G#, C, D#, G, A#",Major
G6,"G, B, D, E",Major
Gb,"Gb, Bb, Db",Major
Gb6,"Gb, Bb, Db, Eb",Major
Gbmaj11,"Gb, Bb, Db, F, Ab, B",Major
Gbmaj7,"Gb, Bb, Db, F",Major
Gbmaj9,"Gb, Bb, Db, F, Ab",Major
Gmaj11,"G, B, D, F#, A, C",Major
Gmaj7,"G, B, D, F#",Major
Gmaj9,"G, B, D, F#, A",Major
A#m,"A#, C#, F",Minor
A#m(maj7),"A#, C#, F, A",Minor
A#m11,"A#, C#, F, G#, C, D#",Minor
A#m6,"A#, C#, F, G",Minor
A#m7,"A#, C#, F, G#",Minor
A#m9,"A#, C#, F, G#, C",Minor
Abm,"Ab, B, Eb",Minor
Abm(maj7),"Ab, B, Eb, G",Minor
Abm11,"Ab, B, Eb, Gb, Bb, Db",Minor
Abm6,"Ab, B, Eb, F",Minor
Abm7,"Ab, B, Eb, Gb",Minor
Abm9,"Ab, B, Eb, Gb, Bb",Minor
Am,"A, C, E",Minor
Am(maj7),"A, C, E, G#",Minor
Am11,"A, C, E, G, B, D",Minor
Am6,"A, C, E, F#",Minor
Am7,"A, C, E, G",Minor
Am9,"A, C, E, G, B",Minor
Bbm,"Bb, Db, F",Minor
Bbm(maj7),"Bb, Db, F, A",Minor
Bbm11,"Bb, Db, F, Ab, C, Eb",Minor
Bbm6,"Bb, Db, F, G",Minor
Bbm7,"Bb, Db, F, Ab",Minor
Bbm9,"Bb, Db, F, Ab, C",Minor
Bm,"B, D, F#",Minor
Bm(maj7),"B, D, F#, A#",Minor
Bm11,"B, D, F#, A, C#, E",Minor
Bm6,"B, D, F#, G#",Minor
Bm7,"B, D, F#, A",Minor
Bm9,"B, D, F#, A, C#",Minor
C#m,"C#, E, G#",Minor
C#m(maj7),"C#, E, G#, C",Minor
C#m11,"C#, E, G#, B, D#, F#",Minor
C#m6,"C#, E, G#, A#",Minor
C#m7,"C#, E, G#, B",Minor
C#m9,"C#, E, G#, B, D#",Minor
Cm,"C, D#, G",Minor
Cm(maj7),"C, D#, G, B",Minor
Cm11,"C, D#, G, A#, D, F",Minor
Cm6,"C, D#, G, A",Minor
Cm7,"C, D#, G, A#",Minor
Cm9,"C, D#, G, A#, D",Minor
D#m,"D#, F#, A#",Minor
D#m(maj7),"D#, F#, A#, D",Minor
D#m11,"D#, F#, A#, C#, F, G#",Minor
D#m6,"D#, F#, A#, C",Minor
D#m7,"D#, F#, A#, C#",Minor
D#m9,"D#, F#, A#, C#, F",Minor
Dbm,"Db, E, Ab",Minor
Dbm(maj7),"Db, E, Ab, C",Minor
Dbm11,"Db, E, Ab, B, Eb, Gb",Minor
Dbm6,"Db, E, Ab, Bb",Minor
Dbm7,"Db, E, Ab, B",Minor
Dbm9,"Db, E, Ab, B, Eb",Minor
Dm,"D, F, A",Minor
Dm(maj7),"D, F, A, C#",Minor
Dm11,"D, F, A, C, E, G",Minor
Dm6,"D, F, A, B",Minor
Dm7,"D, F, A, C",Minor
Dm9,"D, F, A, C, E",Minor
Ebm,"Eb, Gb, Bb",Minor
Ebm(maj7),"Eb, Gb, Bb, D",Minor
Ebm11,"Eb, Gb, Bb, Db, F, Ab",Minor
Ebm6,"Eb, Gb, Bb, C",Minor
Ebm7,"Eb, Gb, Bb, Db",Minor
Ebm9,"Eb, Gb, Bb, Db, F",Minor
Em,"E, G, B",Minor
Em(maj7),"E, G, B, D#",Minor
Em11,"E, G, B, D, F#, A",Minor
Em6,"E, G, B, C#",Minor
Em7,"E, G, B, D",Minor
Em9,"E, G, B, D, F#",Minor
F#m,"F#, A, C#",Minor
F#m(maj7),"F#, A, C#, F",Minor
F#m11,"F#, A, C#, E, G#, B",Minor
F#m6,"F#, A, C#, D#",Minor
F#m7,"F#, A, C#, E",Minor
F#m9,"F#, A, C#, E, G#",Minor
Fm,"F, G#, C",Minor
Fm(maj7),"F, G#, C, E",Minor
Fm11,"F, G#, C, D#, G, A#",Minor
Fm6,"F, G#, C, D",Minor
Fm7,"F, G#, C, D#",Minor
Fm9,"F, G#, C, D#, G",Minor
G#m,"G#, B, D#",Minor
G#m(maj7),"G#, B, D#, G",Minor
G#m11,"G#, B, D#, F#, A#, C#",Minor
G#m6,"G#, B, D#, F",Minor
G#m7,"G#, B, D#, F#",Minor
G#m9,"G#, B, D#, F#, A#",Minor
Gbm,"Gb, A, Db",Minor
Gbm(maj7),"Gb, A, Db, F",Minor
Gbm11,"Gb, A, Db, E, Ab, B",Minor
Gbm6,"Gb, A, Db, Eb",Minor
Gbm7,"Gb, A, Db, E",Minor
Gbm9,"Gb, A, Db, E, Ab",Minor
Gm,"G, A#, D",Minor
Gm(maj7),"G, A#, D, F#",Minor
Gm11,"G, A#, D, F, A, C",Minor
Gm6,"G, A#, D, E",Minor
Gm7,"G, A#, D, F",Minor
Gm9,"G, A#, D, F, A",Minor
A#sus2,"A#, C, F",Suspended
A#sus4,"A#, D#, F",Suspended
Absus2,"Ab, Bb, Eb",Suspended
Absus4,"Ab, Db, Eb",Suspended
Asus2,"A, B, E",Suspended
Asus4,"A, D, E",Suspended
Bbsus2,"Bb, C, F",Suspended
Bbsus4,"Bb, Eb, F",Suspended
Bsus2,"B, C#, F#",Suspended
Bsus4,"B, E, F#",Suspended
C#sus2,"C#, D#, G#",Suspended
C#sus4,"C#, F#, G#",Suspended
Csus2,"C, D, G",Suspended
Csus4,"C, F, G",Suspended
D#sus2,"D#, F, A#",Suspended
D#sus4,"D#, G#, A#",Suspended
Dbsus2,"Db, Eb, Ab",Suspended
Dbsus4,"Db, Gb, Ab",Suspended
Dsus2,"D, E, A",Suspended
Dsus4,"D, G, A",Suspended
Ebsus2,"Eb, F, Bb",Suspended
Ebsus4,"Eb, Ab, Bb",Suspended
Esus2,"E, F#, B",Suspended
Esus4,"E, A, B",Suspended
F#sus2,"F#, G#, C#",Suspended
F#sus4,"F#, B, C#",Suspended
Fsus2,"F, G, C",Suspended
Fsus4,"F, A#, C",Suspended
G#sus2,"G#, A#, D#",Suspended
G#sus4,"G#, C#, D#",Suspended
Gbsus2,"Gb, Ab, Db",Suspended
Gbsus4,"Gb, B, Db",Suspended
Gsus2,"G, A, D",Suspended
Gsus4,"G, C, D",Suspended
